filename,source_name,coordinates
/beegfs/DATA/PTUSE/SCI-20200703-MK-02/search/4/2025-01-30-06:16:50/J1604-4833/1284/2025-01-30-06:20:57.sf,J1604-4833,13:38:28.000-64:25:20.20
/beegfs/DATA/PTUSE/SCI-20200703-MK-02/search/4/2025-01-30-06:16:50/J1604-4833/1284/2025-01-30-06:20:49.sf,J1604-4833,13:38:28.000-64:25:20.20
/beegfs/DATA/PTUSE/SCI-20200703-MK-02/search/4/2025-01-30-06:16:50/J1604-4833/1284/2025-01-30-06:18:42.sf,J1604-4833,13:38:28.000-64:25:20.20
/beegfs/DATA/PTUSE/SCI-20200703-MK-02/search/4/2025-01-30-06:16:50/J1604-4833/1284/2025-01-30-06:19:38.sf,J1604-4833,13:38:28.000-64:25:20.20
/beegfs/DATA/PTUSE/SCI-20200703-MK-02/search/4/2025-01-30-06:16:50/J1604-4833/1284/2025-01-30-06:19:46.sf,J1604-4833,13:38:28.000-64:25:20.20
/beegfs/DATA/PTUSE/SCI-20200703-MK-02/search/4/2024-05-07-23:12:52/J1436-6405/1284/2024-05-07-23:16:04.sf,J1436-6405,14:36:37.200-64:06:28.50
/beegfs/DATA/PTUSE/SCI-20200703-MK-02/search/4/2024-05-07-23:12:52/J1436-6405/1284/2024-05-07-23:13:40.sf,J1436-6405,14:36:37.200-64:06:28.50
/beegfs/DATA/PTUSE/SCI-20200703-MK-02/search/4/2024-05-07-23:12:52/J1436-6405/1284/2024-05-07-23:18:03.sf,J1436-6405,14:36:37.200-64:06:28.50
/beegfs/DATA/PTUSE/SCI-20200703-MK-02/search/4/2024-05-07-23:12:52/J1436-6405/1284/2024-05-07-23:17:55.sf,J1436-6405,14:36:37.200-64:06:28.50
/beegfs/DATA/PTUSE/SCI-20200703-MK-02/search/4/2024-05-07-23:12:52/J1436-6405/1284/2024-05-07-23:15:08.sf,J1436-6405,14:36:37.200-64:06:28.50
/beegfs/DATA/PTUSE/SCI-20200703-MK-02/search/4/2024-05-07-23:12:52/J1436-6405/1284/2024-05-07-23:17:47.sf,J1436-6405,14:36:37.200-64:06:28.50
/beegfs/DATA/PTUSE/SCI-20200703-MK-02/search/4/2024-05-07-23:12:52/J1436-6405/1284/2024-05-07-23:15:24.sf,J1436-6405,14:36:37.200-64:06:28.50
/beegfs/DATA/PTUSE/SCI-20200703-MK-02/search/4/2024-05-07-23:12:52/J1436-6405/1284/2024-05-07-23:15:00.sf,J1436-6405,14:36:37.200-64:06:28.50
/beegfs/DATA/PTUSE/SCI-20200703-MK-02/search/4/2024-05-07-23:12:52/J1436-6405/1284/2024-05-07-23:17:39.sf,J1436-6405,14:36:37.200-64:06:28.50
/beegfs/DATA/PTUSE/SCI-20200703-MK-02/search/4/2024-05-07-23:12:52/J1436-6405/1284/2024-05-07-23:17:15.sf,J1436-6405,14:36:37.200-64:06:28.50
/beegfs/DATA/PTUSE/SCI-20200703-MK-02/search/4/2024-05-07-23:12:52/J1436-6405/1284/2024-05-07-23:13:16.sf,J1436-6405,14:36:37.200-64:06:28.50
/beegfs/DATA/PTUSE/SCI-20200703-MK-02/search/4/2024-05-07-23:12:52/J1436-6405/1284/2024-05-07-23:16:59.sf,J1436-6405,14:36:37.200-64:06:28.50
/beegfs/DATA/PTUSE/SCI-20200703-MK-02/search/4/2024-05-07-23:12:52/J1436-6405/1284/2024-05-07-23:14:52.sf,J1436-6405,14:36:37.200-64:06:28.50
/beegfs/DATA/PTUSE/SCI-20200703-MK-02/search/4/2024-05-07-23:12:52/J1436-6405/1284/2024-05-07-23:16:51.sf,J1436-6405,14:36:37.200-64:06:28.50
/beegfs/DATA/PTUSE/SCI-20200703-MK-02/search/4/2024-05-07-23:12:52/J1436-6405/1284/2024-05-07-23:17:23.sf,J1436-6405,14:36:37.200-64:06:28.50
/beegfs/DATA/PTUSE/SCI-20200703-MK-02/search/4/2024-05-07-23:12:52/J1436-6405/1284/2024-05-07-23:14:20.sf,J1436-6405,14:36:37.200-64:06:28.50
/beegfs/DATA/PTUSE/SCI-20200703-MK-02/search/4/2024-05-07-23:12:52/J1436-6405/1284/2024-05-07-23:16:36.sf,J1436-6405,14:36:37.200-64:06:28.50
/beegfs/DATA/PTUSE/SCI-20200703-MK-02/search/4/2024-05-07-23:12:52/J1436-6405/1284/2024-05-07-23:14:12.sf,J1436-6405,14:36:37.200-64:06:28.50
/beegfs/DATA/PTUSE/SCI-20200703-MK-02/search/4/2024-05-07-23:12:52/J1436-6405/1284/2024-05-07-23:16:44.sf,J1436-6405,14:36:37.200-64:06:28.50
/beegfs/DATA/PTUSE/SCI-20200703-MK-02/search/4/2024-05-07-23:12:52/J1436-6405/1284/2024-05-07-23:13:48.sf,J1436-6405,14:36:37.200-64:06:28.50
/beegfs/DATA/PTUSE/SCI-20200703-MK-02/search/4/2024-05-07-23:12:52/J1436-6405/1284/2024-05-07-23:14:44.sf,J1436-6405,14:36:37.200-64:06:28.50
/beegfs/DATA/PTUSE/SCI-20200703-MK-02/search/4/2024-05-07-23:12:52/J1436-6405/1284/2024-05-07-23:14:28.sf,J1436-6405,14:36:37.200-64:06:28.50
/beegfs/DATA/PTUSE/SCI-20200703-MK-02/search/4/2024-05-07-23:12:52/J1436-6405/1284/2024-05-07-23:13:56.sf,J1436-6405,14:36:37.200-64:06:28.50
/beegfs/DATA/PTUSE/SCI-20200703-MK-02/search/4/2024-05-07-23:12:52/J1436-6405/1284/2024-05-07-23:15:32.sf,J1436-6405,14:36:37.200-64:06:28.50
/beegfs/DATA/PTUSE/SCI-20200703-MK-02/search/4/2024-05-07-23:12:52/J1436-6405/1284/2024-05-07-23:15:48.sf,J1436-6405,14:36:37.200-64:06:28.50
/beegfs/DATA/PTUSE/SCI-20200703-MK-02/search/4/2024-05-07-23:12:52/J1436-6405/1284/2024-05-07-23:14:36.sf,J1436-6405,14:36:37.200-64:06:28.50
/beegfs/DATA/PTUSE/SCI-20200703-MK-02/search/4/2024-05-07-23:12:52/J1436-6405/1284/2024-05-07-23:17:07.sf,J1436-6405,14:36:37.200-64:06:28.50
/beegfs/DATA/PTUSE/SCI-20200703-MK-02/search/4/2024-05-07-23:12:52/J1436-6405/1284/2024-05-07-23:13:24.sf,J1436-6405,14:36:37.200-64:06:28.50
/beegfs/DATA/PTUSE/SCI-20200703-MK-02/search/4/2024-05-07-23:12:52/J1436-6405/1284/2024-05-07-23:13:08.sf,J1436-6405,14:36:37.200-64:06:28.50
/beegfs/DATA/PTUSE/SCI-20200703-MK-02/search/4/2024-05-07-23:12:52/J1436-6405/1284/2024-05-07-23:13:32.sf,J1436-6405,14:36:37.200-64:06:28.50
/beegfs/DATA/PTUSE/SCI-20200703-MK-02/search/4/2024-05-07-23:12:52/J1436-6405/1284/2024-05-07-23:16:28.sf,J1436-6405,14:36:37.200-64:06:28.50
/beegfs/DATA/PTUSE/SCI-20200703-MK-02/search/4/2024-05-07-23:12:52/J1436-6405/1284/2024-05-07-23:16:20.sf,J1436-6405,14:36:37.200-64:06:28.50
/beegfs/DATA/PTUSE/SCI-20200703-MK-02/search/4/2024-05-07-23:12:52/J1436-6405/1284/2024-05-07-23:13:00.sf,J1436-6405,14:36:37.200-64:06:28.50
/beegfs/DATA/PTUSE/SCI-20200703-MK-02/search/4/2024-05-07-23:12:52/J1436-6405/1284/2024-05-07-23:12:52.sf,J1436-6405,14:36:37.200-64:06:28.50
/beegfs/DATA/PTUSE/SCI-20200703-MK-02/search/4/2024-05-07-23:12:52/J1436-6405/1284/2024-05-07-23:15:16.sf,J1436-6405,14:36:37.200-64:06:28.50
/beegfs/DATA/PTUSE/SCI-20200703-MK-02/search/4/2024-05-07-23:12:52/J1436-6405/1284/2024-05-07-23:14:04.sf,J1436-6405,14:36:37.200-64:06:28.50
/beegfs/DATA/PTUSE/SCI-20200703-MK-02/search/4/2024-05-07-23:12:52/J1436-6405/1284/2024-05-07-23:15:40.sf,J1436-6405,14:36:37.200-64:06:28.50
/beegfs/DATA/PTUSE/SCI-20200703-MK-02/search/4/2024-05-07-23:12:52/J1436-6405/1284/2024-05-07-23:15:56.sf,J1436-6405,14:36:37.200-64:06:28.50
/beegfs/DATA/PTUSE/SCI-20200703-MK-02/search/4/2024-05-07-23:12:52/J1436-6405/1284/2024-05-07-23:16:12.sf,J1436-6405,14:36:37.200-64:06:28.50
/beegfs/DATA/PTUSE/SCI-20200703-MK-02/search/4/2024-05-07-23:12:52/J1436-6405/1284/2024-05-07-23:17:31.sf,J1436-6405,14:36:37.200-64:06:28.50
/beegfs/DATA/PTUSE/SCI-20200703-MK-02/search/4/2024-04-01-18:38:14/J1030-6008/1284/2024-04-01-18:43:01.sf,J1030-6008,10:30:26.160-60:08:37.40
/beegfs/DATA/PTUSE/SCI-20200703-MK-02/search/4/2024-04-01-18:38:14/J1030-6008/1284/2024-04-01-18:38:38.sf,J1030-6008,10:30:26.160-60:08:37.40
/beegfs/DATA/PTUSE/SCI-20200703-MK-02/search/4/2024-04-01-18:38:14/J1030-6008/1284/2024-04-01-18:43:09.sf,J1030-6008,10:30:26.160-60:08:37.40
/beegfs/DATA/PTUSE/SCI-20200703-MK-02/search/4/2024-04-01-18:38:14/J1030-6008/1284/2024-04-01-18:42:13.sf,J1030-6008,10:30:26.160-60:08:37.40
/beegfs/DATA/PTUSE/SCI-20200703-MK-02/search/4/2024-04-01-18:38:14/J1030-6008/1284/2024-04-01-18:40:06.sf,J1030-6008,10:30:26.160-60:08:37.40
/beegfs/DATA/PTUSE/SCI-20200703-MK-02/search/4/2024-04-01-18:38:14/J1030-6008/1284/2024-04-01-18:40:38.sf,J1030-6008,10:30:26.160-60:08:37.40
/beegfs/DATA/PTUSE/SCI-20200703-MK-02/search/4/2024-04-01-18:38:14/J1030-6008/1284/2024-04-01-18:39:58.sf,J1030-6008,10:30:26.160-60:08:37.40
/beegfs/DATA/PTUSE/SCI-20200703-MK-02/search/4/2024-04-01-18:38:14/J1030-6008/1284/2024-04-01-18:40:30.sf,J1030-6008,10:30:26.160-60:08:37.40
/beegfs/DATA/PTUSE/SCI-20200703-MK-02/search/4/2024-04-01-18:38:14/J1030-6008/1284/2024-04-01-18:39:18.sf,J1030-6008,10:30:26.160-60:08:37.40
/beegfs/DATA/PTUSE/SCI-20200703-MK-02/search/4/2024-04-01-18:38:14/J1030-6008/1284/2024-04-01-18:38:30.sf,J1030-6008,10:30:26.160-60:08:37.40
/beegfs/DATA/PTUSE/SCI-20200703-MK-02/search/4/2024-04-01-18:38:14/J1030-6008/1284/2024-04-01-18:38:46.sf,J1030-6008,10:30:26.160-60:08:37.40
